week_ending,influenza_season,estimate,mmwr_year,mmwr_week,as_of_date,race_and_ethnicity,current_season_week_ending_label
2020-12-19T00:00:00.000,2020-2021,56.330000000000005,2020,51,,Overall,2025-12-13 00:00:00.0000000
2020-12-26T00:00:00.000,2020-2021,56.52,2020,52,,Overall,2025-12-20 00:00:00.0000000
2021-01-02T00:00:00.000,2020-2021,56.69,2020,53,,Overall,2025-12-27 00:00:00.0000000
2021-01-09T00:00:00.000,2020-2021,56.89999999999999,2021,1,,Overall,2026-01-03 00:00:00.0000000
2021-01-16T00:00:00.000,2020-2021,57.07,2021,2,,Overall,2026-01-10 00:00:00.0000000
2021-01-23T00:00:00.000,2020-2021,57.2,2021,3,,Overall,2026-01-17 00:00:00.0000000
2021-01-30T00:00:00.000,2020-2021,57.31,2021,4,,Overall,2026-01-24 00:00:00.0000000
2021-02-06T00:00:00.000,2020-2021,57.38999999999999,2021,5,,Overall,2026-01-31 00:00:00.0000000
2021-02-13T00:00:00.000,2020-2021,57.45,2021,6,,Overall,2026-02-07 00:00:00.0000000
2021-02-20T00:00:00.000,2020-2021,57.49,2021,7,,Overall,2026-02-14 00:00:00.0000000
2021-02-27T00:00:00.000,2020-2021,57.55,2021,8,,Overall,2026-02-21 00:00:00.0000000
2021-03-06T00:00:00.000,2020-2021,57.59,2021,9,,Overall,2026-02-28 00:00:00.0000000
2021-03-13T00:00:00.000,2020-2021,57.63,2021,10,,Overall,2026-03-07 00:00:00.0000000
2021-03-20T00:00:00.000,2020-2021,57.66,2021,11,,Overall,2026-03-14 00:00:00.0000000
2021-03-27T00:00:00.000,2020-2021,57.69,2021,12,,Overall,2026-03-21 00:00:00.0000000
2023-09-30T00:00:00.000,2023-2024,9.64,2023,39,,Hispanic,2025-09-27 00:00:00.0000000
2023-09-23T00:00:00.000,2023-2024,7.199999999999999,2023,38,,Hispanic,2025-09-20 00:00:00.0000000
2023-08-26T00:00:00.000,2023-2024,1.35,2023,34,,"Other, Non-Hispanic",2025-08-23 00:00:00.0000000
2023-08-05T00:00:00.000,2023-2024,0.102,2023,31,,"Asian, Non-Hispanic",2025-08-02 00:00:00.0000000
2023-08-19T00:00:00.000,2023-2024,0.7359999999999999,2023,33,,"Other, Non-Hispanic",2025-08-16 00:00:00.0000000
2023-08-26T00:00:00.000,2023-2024,1.91,2023,34,,"Asian, Non-Hispanic",2025-08-23 00:00:00.0000000
2023-08-12T00:00:00.000,2023-2024,0.4089999999999999,2023,32,,"Asian, Non-Hispanic",2025-08-09 00:00:00.0000000
2019-08-10T00:00:00.000,2019-2020,0.184,2019,32,,"White, Non-Hispanic",2025-08-02 00:00:00.0000000
2019-08-17T00:00:00.000,2019-2020,0.447,2019,33,,"White, Non-Hispanic",2025-08-09 00:00:00.0000000
2022-01-29T00:00:00.000,2021-2022,53.13,2022,4,,Overall,2026-01-24 00:00:00.0000000
2022-02-05T00:00:00.000,2021-2022,53.290000000000006,2022,5,,Overall,2026-01-31 00:00:00.0000000
2022-02-12T00:00:00.000,2021-2022,53.43,2022,6,,Overall,2026-02-07 00:00:00.0000000
2022-02-19T00:00:00.000,2021-2022,53.54,2022,7,,Overall,2026-02-14 00:00:00.0000000
2022-02-26T00:00:00.000,2021-2022,53.63,2022,8,,Overall,2026-02-21 00:00:00.0000000
2022-03-05T00:00:00.000,2021-2022,53.71,2022,9,,Overall,2026-02-28 00:00:00.0000000
2022-03-12T00:00:00.000,2021-2022,53.77,2022,10,,Overall,2026-03-07 00:00:00.0000000
2022-03-19T00:00:00.000,2021-2022,53.82,2022,11,,Overall,2026-03-14 00:00:00.0000000
2022-03-26T00:00:00.000,2021-2022,53.86,2022,12,,Overall,2026-03-21 00:00:00.0000000
2022-04-02T00:00:00.000,2021-2022,53.900000000000006,2022,13,,Overall,2026-03-28 00:00:00.0000000
2022-04-09T00:00:00.000,2021-2022,53.92,2022,14,,Overall,2026-04-04 00:00:00.0000000
2022-04-16T00:00:00.000,2021-2022,53.94,2022,15,,Overall,2026-04-11 00:00:00.0000000
2022-04-23T00:00:00.000,2021-2022,53.96,2022,16,,Overall,2026-04-18 00:00:00.0000000
2022-04-30T00:00:00.000,2021-2022,53.98,2022,17,,Overall,2026-04-25 00:00:00.0000000
2022-05-07T00:00:00.000,2021-2022,53.99,2022,18,,Overall,2026-05-02 00:00:00.0000000
2022-05-14T00:00:00.000,2021-2022,54.0,2022,19,,Overall,2026-05-09 00:00:00.0000000
2022-05-21T00:00:00.000,2021-2022,54.02,2022,20,,Overall,2026-05-16 00:00:00.0000000
2022-05-28T00:00:00.000,2021-2022,54.03,2022,21,,Overall,2026-05-23 00:00:00.0000000
2022-01-01T00:00:00.000,2021-2022,53.510000000000005,2021,52,,"White, Non-Hispanic",2025-12-27 00:00:00.0000000
2022-01-08T00:00:00.000,2021-2022,53.89000000000001,2022,1,,"White, Non-Hispanic",2026-01-03 00:00:00.0000000
2022-01-15T00:00:00.000,2021-2022,54.23,2022,2,,"White, Non-Hispanic",2026-01-10 00:00:00.0000000
2022-01-22T00:00:00.000,2021-2022,54.46,2022,3,,"White, Non-Hispanic",2026-01-17 00:00:00.0000000
